Speaker,Repetition,Order,Word,oaf_20,oap_20,naf_20,oaf_50,oap_50,naf_50,oaf_80,oap_80,naf_80
Aurora,1,17,boit,0.06908844,0.02480774,-0.0003355,0.09368896,0.0106215,-0.0021059,0.11294274,0.00485584,-0.0041199
Aurora,1,18,Ben,0.05944824,0.02642069,0.00796377,0.06143881,0.01391602,0.02862677,0.08486822,0.00845585,0.04012844
Aurora,1,19,barn,0.07428103,0.00774935,-0.0084819,0.06585915,-0.0009528,0.0345459,0.07853097,-0.0017418,0.02450562
Aurora,1,20,bet,0.06539746,0.02396509,-0.0072937,0.09534774,0.01343987,-0.0092649,0.14941534,0.00875607,-0.0010691
Aurora,1,21,bot,0.06128153,0.0164612,-0.0047607,0.0753479,0.00386986,-0.0049438,0.19247451,-0.0018078,-0.0035756
Aurora,1,22,Bart,0.06408374,0.01428258,-0.000946,0.09658969,0.00497512,-0.0025024,0.14506276,0.00094804,-0.0003052
Aurora,1,23,bat,0.03154649,0.01937106,0.00173724,0.04934692,0.01131819,0.0150468,0.09517184,0.00678354,0.03896018
Aurora,1,24,bean,0.0576018,0.01582326,-0.0032502,0.03605053,0.00901583,0.07345355,0.06414795,0.00554967,0.07821655
Aurora,1,25,bone,0.05439732,0.00510756,0.01550481,0.05844116,-0.0022361,0.0145874,0.10699905,-0.0014658,0.01450109
Aurora,1,26,bit,0.07052612,0.07419144,-0.0019836,0.08688129,0.05430624,-0.0024719,0.11428618,0.04069615,-0.0010376
Aurora,1,27,ban,0.04579491,0.03863155,0.01735252,0.0674579,0.02601059,0.03846862,0.07484925,0.02073649,0.02738269
Aurora,1,28,boat,0.07874223,0.04018176,0.00021362,0.08943232,0.03053923,-6.10E-05,0.09772443,0.0257541,0.00048828
Aurora,1,29,bomb,0.06143172,0.03027395,-0.0047913,0.04006948,0.02105642,0.02801514,0.06137596,0.01804334,0.0284712
Aurora,1,30,bind,0.02554528,0.03457299,0.02905102,0.05752659,0.02795993,0.01959487,0.06430192,0.02734742,0.00704956
Aurora,1,31,bane,0.06280639,0.04202378,-0.0057678,0.03422321,0.03474065,0.0161417,0.06843212,0.03134211,0.01895142
Aurora,2,1,boit,0.07506766,-0.054582,0.00045776,0.11056861,-0.0578559,0.00125257,0.10263063,-0.0597229,0.00112915
Aurora,2,2,bane,0.0643255,-0.0585535,0.04565368,0.03866432,-0.0596046,0.05847355,0.03323658,-0.0599108,0.04015956
Aurora,2,3,bean,0.00853549,-0.0506866,0.09402328,0.02569787,-0.0518614,0.11331031,0.0357411,-0.0520396,0.07171631
Aurora,2,4,boot,0.1054688,-0.0532837,-0.0003967,0.09091394,-0.0553593,-0.0006409,0.11215035,-0.0574951,-0.0002136
Aurora,2,5,boon,0.058933,-0.0644264,0.02865196,0.0402851,-0.0670339,0.06123364,0.06182729,-0.0681424,0.07422007
Aurora,2,6,bin,0.0826254,-0.0579984,0.01530551,0.0774231,-0.0610324,0.04281616,0.07724431,-0.0618278,0.06323036
Aurora,2,7,barn,0.03704651,-0.0627129,0.06359858,0.04672364,-0.0644604,0.04338623,0.06481286,-0.0644297,0.01660011
Aurora,2,8,bind,0.02786258,-0.056304,0.0563361,0.05264282,-0.0576305,0.02694834,0.05687979,-0.0586853,0.02492842
Aurora,2,9,bit,0.08859331,-0.0575292,-0.0032959,0.10447585,-0.058688,-0.0043341,0.16168276,-0.0600864,-0.0015545
Aurora,2,10,bort,0.0466054,-0.0611756,0.00057983,0.10822746,-0.0624127,0.00094604,0.13571022,-0.0636311,0.00567627
Aurora,2,11,bot,0.03100579,-0.1510139,0.00216675,0.05120633,-0.1502162,0.0017395,0.15228025,-0.1489555,0.00537109
Aurora,2,12,bat,0.03963048,-0.10305,-0.0112322,0.03913343,-0.1050011,0.0140673,0.03845489,-0.1062297,0.02633796
Aurora,2,13,Bart,0.04090587,-0.0902071,0.0007019,0.06322101,-0.0922631,-0.0012512,0.10458374,-0.0935066,0.00243726
Aurora,2,14,Ben,0.05032484,-0.0858127,0.01821985,0.05124481,-0.0873397,0.02792358,0.08660353,-0.0884651,0.04010079
Aurora,2,15,bet,0.04003297,-0.0796991,0.00100708,0.07868951,-0.0811565,-0.0068485,0.08981323,-0.0828263,-0.0103149
Aurora,2,16,boat,0.07407668,-0.0692443,-0.0010376,0.09570766,-0.072236,-0.0015869,0.07499597,-0.0722209,0.00140381
Aurora,2,17,Bert,0.05325344,-0.0667156,0.00052083,0.05511332,-0.0687547,-0.0005493,0.10546875,-0.0699984,3.05E-05
Aurora,2,18,born,0.02688599,-0.0622251,0.04351827,0.07476807,-0.0651588,0.04297022,0.0896548,-0.0663205,0.04321289
Aurora,2,19,bomb,0.07680789,-0.1397412,0.02920739,0.05581325,-0.136901,0.03103816,0.04772899,-0.1337636,0.04403849
Aurora,2,20,bite,0.06228682,-0.1068221,-0.0015389,0.0782238,-0.1084729,-0.0062256,0.08712787,-0.1087648,-0.0018921
Aurora,2,21,bout,0.06521476,-0.0740042,-0.0056444,0.08729829,-0.0788228,0.0113842,0.11000929,-0.0815053,0.0596883
